Player Rank ,Name,Player Position ,School
1,Abdul Carter,ED,Penn State
2,Travis Hunter,CB,Colorado
3,Mason Graham,DT,Michigan
4,Tetairoa McMillan,WR,Arizona
5,Ashton Jeanty,RB,Boise State
6,Armand Membou,OT,Missouri
7,Will Johnson,CB,Michigan
8,James Pearce Jr,ED,Tennesse
9,Jihad Campbell,LB,Alabama
10,Will Campbell,OT,LSU
11,Tyler Warren,TE,Penn State
12,Mykel Williams ,ED,Georgia
13,Colston Loveland,TE,Michigan
14,Josh Simmons ,OT,Ohio State
15,Nick Emmanwori,S,South Carolina
16,Mike Green ,ED,Marshall
17,Shemar Stewart,ED,Texas A&M
18,Luther Burden III,WR,Missouri
19,Kelvin Banks Jr,OT,Texas A&M
20,Cam Ward,QB,Miami
21,Walter Nolen,DT,Ole Miss
22,Derrick Harmon,DT,Oregon
23,Tyler Booker,OG,Alabama
24,Malaki Starks,S,Georgia
25,Omarion Hampton,RB,North Carolina
26,Jalon Walker ,ED,Georgia
27,Maxwell Hairston ,CB,Kentucky
28,Shadeur Sanders,QB,Colorado
29,Kenneth Grant ,DT,Michigan
30,Grey Zabel ,OG,North Dakota St
31,Mathew Golden,WR,Texas A&M
32,Emeka Egbuka ,WR ,Ohio State
33,Josh Conerly Jr,OT,Oregon
34,Kaleb Johnson ,RB ,Iowa
35,Xavier Watts,S,Notre Dame
